id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepemilikan,jumlah_faskes,satuan,tahun
202,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUMN,0,UNIT,2020
203,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,4,UNIT,2020
204,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMENKES,0,UNIT,2020
205,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMENTERIAN LAIN,0,UNIT,2020
206,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEM.PROV,0,UNIT,2020
207,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEM.KAB/KOTA,3,UNIT,2020
208,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TNI/POLRI,1,UNIT,2020
209,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUMN,0,UNIT,2020
210,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,1,UNIT,2020
211,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMENKES,0,UNIT,2020
212,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KEMENTERIAN LAIN,0,UNIT,2020
213,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEM.PROV,2,UNIT,2020
214,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEM.KAB/KOTA,3,UNIT,2020
215,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TNI/POLRI,1,UNIT,2020
216,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BUMN,0,UNIT,2020
217,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,4,UNIT,2020
218,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMENKES,0,UNIT,2020
219,32,JAWA BARAT,3205,KABUPATEN GARUT,KEMENTERIAN LAIN,0,UNIT,2020
220,32,JAWA BARAT,3205,KABUPATEN GARUT,PEM.PROV,1,UNIT,2020
221,32,JAWA BARAT,3205,KABUPATEN GARUT,PEM.KAB/KOTA,1,UNIT,2020
222,32,JAWA BARAT,3205,KABUPATEN GARUT,TNI/POLRI,1,UNIT,2020
223,32,JAWA BARAT,3205,KABUPATEN GARUT,BUMN,0,UNIT,2020
224,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,3,UNIT,2020
225,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMENKES,0,UNIT,2020
226,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KEMENTERIAN LAIN,0,UNIT,2020
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEM.PROV,0,UNIT,2020
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEM.KAB/KOTA,1,UNIT,2020
229,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TNI/POLRI,0,UNIT,2020
230,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BUMN,0,UNIT,2020
231,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,0,UNIT,2020
232,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMENKES,0,UNIT,2020
233,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KEMENTERIAN LAIN,0,UNIT,2020
234,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEM.PROV,0,UNIT,2020
235,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEM.KAB/KOTA,1,UNIT,2020
236,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TNI/POLRI,0,UNIT,2020
237,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BUMN,0,UNIT,2020
238,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,3,UNIT,2020
239,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMENKES,0,UNIT,2020
240,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMENTERIAN LAIN,0,UNIT,2020
241,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEM.PROV,0,UNIT,2020
242,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEM.KAB/KOTA,2,UNIT,2020
243,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TNI/POLRI,0,UNIT,2020
244,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BUMN,0,UNIT,2020
245,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,9,UNIT,2020
246,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMENKES,0,UNIT,2020
247,32,JAWA BARAT,3209,KABUPATEN CIREBON,KEMENTERIAN LAIN,0,UNIT,2020
248,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEM.PROV,0,UNIT,2020
249,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEM.KAB/KOTA,2,UNIT,2020
250,32,JAWA BARAT,3209,KABUPATEN CIREBON,TNI/POLRI,0,UNIT,2020
251,32,JAWA BARAT,3209,KABUPATEN CIREBON,BUMN,0,UNIT,2020
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,7,UNIT,2020
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KEMENKES,0,UNIT,2020
254,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KEMENTERIAN LAIN,0,UNIT,2020
255,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEM.PROV,0,UNIT,2020
256,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEM.KAB/KOTA,2,UNIT,2020
257,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TNI/POLRI,0,UNIT,2020
258,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BUMN,0,UNIT,2020
259,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,0,UNIT,2020
260,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KEMENKES,0,UNIT,2020
261,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KEMENTERIAN LAIN,0,UNIT,2020
262,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEM.PROV,0,UNIT,2020
263,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEM.KAB/KOTA,1,UNIT,2020
264,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TNI/POLRI,0,UNIT,2020
265,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BUMN,0,UNIT,2020
266,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,2,UNIT,2020
267,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KEMENKES,0,UNIT,2020
268,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KEMENTERIAN LAIN,0,UNIT,2020
269,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEM.PROV,0,UNIT,2020
270,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEM.KAB/KOTA,3,UNIT,2020
271,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TNI/POLRI,1,UNIT,2020
272,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BUMN,1,UNIT,2020
273,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,5,UNIT,2020
274,32,JAWA BARAT,3213,KABUPATEN SUBANG,KEMENKES,0,UNIT,2020
275,32,JAWA BARAT,3213,KABUPATEN SUBANG,KEMENTERIAN LAIN,0,UNIT,2020
276,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEM.PROV,0,UNIT,2020
277,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEM.KAB/KOTA,1,UNIT,2020
278,32,JAWA BARAT,3213,KABUPATEN SUBANG,TNI/POLRI,1,UNIT,2020
279,32,JAWA BARAT,3213,KABUPATEN SUBANG,BUMN,1,UNIT,2020
280,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,4,UNIT,2020
281,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KEMENKES,0,UNIT,2020
282,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KEMENTERIAN LAIN,0,UNIT,2020
