id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penderita,satuan,tahun,jenis_penderita
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,192787.0,ORANG,2019,Hipertensi
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0.0,ORANG,2019,Hipertensi
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,70587.0,ORANG,2019,Hipertensi
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0.0,ORANG,2019,Hipertensi
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,165418.0,ORANG,2019,Hipertensi
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,678232.0,ORANG,2019,Hipertensi
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,60110.0,ORANG,2019,Hipertensi
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,ORANG,2019,Hipertensi
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,34641.0,ORANG,2019,Hipertensi
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,62345.0,ORANG,2019,Hipertensi
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,99957.0,ORANG,2019,Hipertensi
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,116345.0,ORANG,2019,Hipertensi
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,180694.0,ORANG,2019,Hipertensi
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,ORANG,2019,Hipertensi
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,ORANG,2019,Hipertensi
19,32,JAWA BARAT,3271,KOTA BOGOR,49891.0,ORANG,2019,Hipertensi
20,32,JAWA BARAT,3272,KOTA SUKABUMI,44109.0,ORANG,2019,Hipertensi
21,32,JAWA BARAT,3273,KOTA BANDUNG,109626.0,ORANG,2019,Hipertensi
22,32,JAWA BARAT,3274,KOTA CIREBON,0.0,ORANG,2019,Hipertensi
23,32,JAWA BARAT,3275,KOTA BEKASI,115089.0,ORANG,2019,Hipertensi
24,32,JAWA BARAT,3276,KOTA DEPOK,153560.0,ORANG,2019,Hipertensi
25,32,JAWA BARAT,3277,KOTA CIMAHI,128259.0,ORANG,2019,Hipertensi
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,ORANG,2019,Hipertensi
27,32,JAWA BARAT,3279,KOTA BANJAR,22782.0,ORANG,2019,Hipertensi
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,975300.0,ORANG,2020,Hipertensi
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,476574.0,ORANG,2020,Hipertensi
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,400822.0,ORANG,2020,Hipertensi
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,111504.0,ORANG,2020,Hipertensi
32,32,JAWA BARAT,3205,KABUPATEN GARUT,139743.0,ORANG,2020,Hipertensi
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69706.0,ORANG,2020,Hipertensi
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,68736.0,ORANG,2020,Hipertensi
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,75272.0,ORANG,2020,Hipertensi
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,174538.0,ORANG,2020,Hipertensi
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,146231.0,ORANG,2020,Hipertensi
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,270225.0,ORANG,2020,Hipertensi
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,42438.0,ORANG,2020,Hipertensi
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,73555.0,ORANG,2020,Hipertensi
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,52994.0,ORANG,2020,Hipertensi
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,141053.0,ORANG,2020,Hipertensi
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,97434.0,ORANG,2020,Hipertensi
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,ORANG,2020,Hipertensi
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,74814.0,ORANG,2020,Hipertensi
